Language,id,author_id,created_at,text,Country,Continent,Latitude,Longitude
English,1372290080321191943,982237616,2021-03-17T20:53:45.000Z,"#magnolia park and nature reserve Wednesday 17th March. improvements to the footpaths and drainage system, it was previously boggy we can now enjoy the wildlife. please place litter in the bins provided - another litter pick today, @thewaiter67 thank #RochfordDistrictLitterpicks https://t.co/a54HWEq7Nj",England,Europe,52.22045,0.51158
English,1372286902745899008,21021966,2021-03-17T20:41:08.000Z,@Irishwildlife @ARC2020eu Depressingly predictable\n\nKnowing this is path they've decided on is as good as the death sentence for Irish biodiversity\n\nTrying to see any upside here for our wildlife,Ireland,Europe,53.49460,-6.23572
English,1372283234508271616,702956522,2021-03-17T20:26:33.000Z,We also spotted several newts in the pond. Great to see wildlife starting to thrive in the Woodland Classroom🦎 https://t.co/NYEUcrjn2T,England,Europe,51.44322,-0.02912
English,1372281977605386240,961208819207606273,2021-03-17T20:21:33.000Z,"This afternoon’s reading in the sunlit park, surrounded by wildlife and woods. Dreaming of adventures further afield 🍃 https://t.co/Qg3qsuNMZ7",England,Europe,53.80196,-1.56549
English,1372281950086574088,2250413433,2021-03-17T20:21:27.000Z,#standupforbadger and back The Wildlife Trusts' campaign to stop the latest proposals that will see an extension to culling.  https://t.co/4XwzumeIvT,England,Europe,51.15682,-0.96689
English,1372280090973851648,54140467,2021-03-17T20:14:04.000Z,"I S L A  D E L  R O S A R I O\nAmazing memories \n#tbt #happy #dolphins #dolphin\n#wildlife #wildlifephotography @ Islas Del Rosario, Colombia https://t.co/gDZs8LLSXW",Columbia,South America,10.39162,-75.54673
English,1372277538932805632,4727148435,2021-03-17T20:03:55.000Z,🐘🐘🥰🥰🥰❤️❤️❤️🤗🤗🤗🐘🐘The staff at Sheldrick Wildlife know how to respect these majestic elephants 🐘 🐘🐘🐘🐘🐘🐘🐘🐘 https://t.co/H51tav2x4X,United States,North America,45.18841,-68.98471
English,1372275812939014144,853171795695947776,2021-03-17T19:57:04.000Z,Hare racing past the trail cam. #wildlifephotography #wildlifephotographer #wildlife #hare #nature #NaturePhotography #naturephotographer https://t.co/xfR5Ezo5bL,Scotland,Europe,57.73945,-4.20044
English,1372274035422343168,29899965,2021-03-17T19:50:00.000Z,Canoeing through #caddolake #canoe #nature #wetlands @ Caddo Lake State Park - Texas Parks and Wildlife https://t.co/YvHUHtvTXd,United States,North America,32.68021,-94.17621
English,1372273735357624324,168803715,2021-03-17T19:48:48.000Z,"@jroddiephoto The Black Isle is an absolute gem for wildlife. Lockdown has opened my eyes to how much is here, nor just the headline acts but a superb supporting cast. 😀",Scotland,Europe,57.73945,-4.20044
English,1372273448773373952,29899965,2021-03-17T19:47:40.000Z,#caddolake #nature @ Caddo Lake State Park - Texas Parks and Wildlife https://t.co/mttl6tcqHt,United States,North America,32.68021,-94.17621
English,1372272600701894657,853171795695947776,2021-03-17T19:44:18.000Z,Brief glimpse of the otter fishing in the burn. #wildlife #wildlifephotography #wildlifephotography #Otters #otter #nature #NaturePhotography #naturephotographer https://t.co/neLWh58fNN,Scotland,Europe,57.73945,-4.20044
English,1372271554214690822,1123979971,2021-03-17T19:40:08.000Z,"I got, I got slow-mo horse video not the best thing ever but I just have so many photos I thought I’d spice it up.\n#nikonnofilter #oklahoma #wildhorses #snow #horsepower #nikon #photographer #picoftheday #horse #winter #nature #wildlife https://t.co/nxYwfxlIIS",United States,North America,35.52261,-97.97590
English,1372270565713719300,61156458,2021-03-17T19:36:13.000Z,I videoed the #ladybird ☺️\nThen I returned it from whence it came 😉\n🌿👩🏻‍🌾🌿✂️🌿🐞🤚🌿\n#Gardening #Pruning #InMyGarden #WildlifeGarden #Nature #Bees #Insects #Birds #Wildlife #FoodForWildlife #InOurGarden #Flowers #Berries #Trees #Plants #SolaceInNature #GardenLife #NatureTherapy https://t.co/cbkmPMD8av,England,Europe,53.91342,-1.94016
English,1372270006248083459,123972218,2021-03-17T19:33:59.000Z,Preparing for departure from White Horse Key. Photo by Sheila Windt Heflin (@myshefkatlife) @ Ten Thousand Islands National Wildlife Refuge https://t.co/Sq4iWeoJ9h,United States,North America,25.96512,-81.52837
English,1372265412520382465,17686246,2021-03-17T19:15:44.000Z,"Robert Aaron Long, 21, The man accused of killing eight people around Atlanta liked to hunt deer with his father. \nTrophy Hunting, shooting &amp; killing wildlife for fun have deep impact &amp; is harmful for the society.\nStop Killing Animals #StopAsianHate @XposeTrophyHunt @CBTHunting https://t.co/rZ4m9AgBzf https://t.co/KL8ZomJNwD",India,Asia,27.13976,80.86755
English,1372264905357725697,17686246,2021-03-17T19:13:43.000Z,"Robert Aaron Long, 21, The man accused of killing eight people around Atlanta liked to hunt deer with his father. \nTrophy Hunting, shooting &amp; killing wildlife for fun have deep impact &amp; is harmful for the society.\nStop Killing Animals #StopAsianHate @XposeTrophyHunt @CBTHunting https://t.co/j7OkWwR6Pm https://t.co/KL8ZomJNwD",India,Asia,27.13976,80.86755
English,1372264541585805312,2954821077,2021-03-17T19:12:16.000Z,"There’s something special about silently gliding along the sun-streaked Mohlabatsi River in search of wildlife. Without the rumble of an engine you can get fairly close, as animals slink towards the water’s edge for a sip.📍🇿🇦 Marataba Conservation Camps, Limpopo, South Africa. https://t.co/YSGa1ibWvm",South Africa,Africa,-26.11790,28.10310
English,1372261568180748288,335410712,2021-03-17T19:00:27.000Z,Fish and Wildlife out rescuing an injured eagle today. Got her out safely and successfully! https://t.co/Jcf0vH1jom,United States,North America,47.62708,-122.24120
